Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
Diploma,"Wellington College of Education","Higher Diploma of Teaching (Early Childhood Stream)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Wellington Nannies College","Wellington Nannies College Certificate",PC1602,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
"Certificate III","Wellington Nannies College","Wellington Nannies College Certificate in Early Childhood Education",PC9083,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification may also be awarded by New Zealand Career College Ltd (acquired Wellington Nannies College). This qualification was previously assessed by the Queensland Government as being the equivalent to a Cerficate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"West Coast Institute of Training","Associate Degree of Education (Early Childhood)",ADEC10,"Any date before May 2019",National,Australia,"ACECQA assessed and approved this qualification on 7 April 2014"
Diploma,"West Coast Institute of Training","Diploma of the Kindergarten Teacher's College",,"Any date before 1 January 2017",National,Australia,
ECT,"Western Australian College of Advanced Education","Bachelor of Arts (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Western Australian College of Advanced Education","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Western Australian College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Western Australian College of Advanced Education","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Western Australian College of Advanced Education","Diploma of Teaching Primary K-7",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Western Australian Institute of Technology","Bachelor of Arts (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"The Western Australian Institute of Technology (WAIT) became Curtin University in 1987."
ECT,"Western Australian Institute of Technology","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"The Western Australian Institute of Technology (WAIT) became Curtin University in 1987."
ECT,"Western Australian Institute of Technology","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"The Western Australian Institute of Technology (WAIT) became Curtin University in 1987."
Diploma,"Western Australian Institute of Technology","Diploma of the Kindergarten Teacher's College",,"Any date before 1 January 2012",National,Australia,"The Western Australian Institute of Technology (WAIT) became Curtin University in 1987."
Diploma,"Western Institute of Technology","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence. It is now offered through the University of Canterbury, formerly Auckland College of Education."
ECT,"Western Sydney University","Bachelor of Early Childhood Studies (Child and Family) only in combination with the Master of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
ECT,"Western Sydney University","Bachelor of Education (Birth - 5 Years)",1670,"Any date if enrolled prior to 1 January 2017",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
ECT,"Western Sydney University","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
ECT,"Western Sydney University","Bachelor of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
ECT,"Western Sydney University","Bachelor of Teaching with major studies in Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
ECT,"Western Sydney University","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
ECT,"Western Sydney University","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
ECT,"Western Sydney University","Graduate Diploma in Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Western Sydney University was formerly known by a different name: The University of Western Sydney."
